vehicle_id,length_of_study_time_step,in_study_repair
349,364.0,0
350,481.4,0
351,209.6,1
352,491.4,0
353,492.4,0
354,221.6,0
355,484.8,0
356,288.2,0
357,142.4,0
358,141.4,1
360,211.4,0
361,299.4,0
362,453.6,0
365,476.0,0
366,347.8,0
368,380.8,1
370,175.6,1
371,218.0,0
372,476.0,0
374,199.8,0
375,363.2,1
376,277.0,1
378,472.4,0
381,349.8,0
382,226.8,0
383,352.8,0
384,283.6,1
385,483.8,0
386,239.0,1
388,152.6,0
389,476.0,0
390,152.8,0
391,236.2,0
393,198.4,0
394,490.6,0
395,491.2,0
396,271.8,0
399,419.0,0
401,143.6,0
402,470.4,0
404,286.4,0
406,488.8,0
408,288.4,0
409,488.0,0
410,283.0,1
412,493.4,0
413,247.4,0
415,489.6,0
416,143.4,0
418,490.2,0
419,291.2,0
421,144.6,0
425,363.0,0
426,439.2,0
427,213.6,0
428,316.6,0
429,482.8,0
430,360.8,1
431,357.4,0
432,140.4,0
433,479.6,0
434,460.0,0
436,181.2,0
437,488.0,0
440,286.2,0
441,390.4,0
442,486.0,0
443,466.6,0
445,490.0,0
447,301.2,0
451,408.0,0
452,488.2,0
453,320.6,0
454,157.6,0
455,470.2,0
456,229.8,0
457,409.4,1
458,470.6,0
461,259.2,0
464,289.6,0
466,436.4,0
467,401.2,1
469,290.0,0
471,359.8,0
472,377.8,0
474,168.6,0
475,480.2,0
477,214.8,0
479,384.4,0
480,350.6,0
481,472.8,0
482,132.2,1
485,277.4,1
488,471.4,0
489,443.8,0
490,283.6,1
491,153.0,0
494,483.0,0
495,469.2,0
497,217.2,0
498,247.0,0
501,245.0,0
502,145.8,0
504,247.2,0
505,486.2,0
507,360.8,0
509,284.2,0
510,460.0,0
511,394.6,0
512,406.4,0
514,480.2,0
516,122.6,0
517,172.0,0
519,482.4,0
522,216.6,1
523,465.6,0
524,251.4,0
525,434.0,0
526,488.8,0
528,462.6,0
529,164.4,0
530,470.4,0
531,373.0,0
533,353.8,0
534,245.0,0
535,417.0,0
536,283.6,0
537,253.2,0
538,437.6,0
540,296.8,1
545,456.6,0
546,291.2,0
549,482.8,0
550,269.2,1
551,385.4,0
552,249.2,1
553,383.8,0
555,347.6,0
556,361.2,0
557,484.0,0
558,161.0,0
559,211.8,0
561,478.6,0
562,251.0,0
563,155.2,1
564,371.2,0
565,372.8,0
567,209.4,0
569,465.4,0
570,468.4,0
571,480.8,0
572,319.0,0
574,437.0,0
576,283.0,0
577,125.4,0
578,467.0,0
579,182.8,0
580,356.4,0
581,481.4,0
582,484.0,0
583,352.4,0
584,131.6,0
585,143.2,0
586,145.8,0
588,232.6,0
589,466.2,0
590,427.0,0
592,277.8,0
593,489.6,0
595,248.0,0
596,465.0,0
597,135.4,0
599,412.8,0
600,347.0,0
601,215.0,0
602,364.6,0
604,381.0,1
605,410.4,1
606,361.8,0
607,402.2,0
609,478.4,0
612,483.2,0
613,482.2,0
614,284.4,0
615,465.4,0
616,452.8,0
617,290.8,0
620,454.6,0
621,194.6,0
622,480.8,0
623,246.4,0
625,283.8,0
626,480.4,0
628,409.6,0
629,165.2,1
630,145.8,0
631,143.6,0
632,142.4,0
633,155.2,0
634,125.2,0
636,194.2,0
637,410.0,0
638,210.0,1
640,384.0,0
641,184.2,0
642,475.6,0
644,201.8,0
645,472.8,0
646,351.4,1
648,272.6,0
651,346.6,0
652,344.2,0
654,289.0,0
655,145.6,0
657,216.2,1
659,278.0,0
660,472.2,0
665,311.8,0
668,273.0,0
669,486.6,0
671,145.0,0
672,470.8,0
673,440.4,0
675,214.2,0
676,470.2,0
678,404.6,0
680,144.4,0
682,320.2,1
683,232.4,0
685,480.2,0
686,425.4,0
688,473.0,0
690,299.8,1
691,344.2,1
692,229.8,0
693,126.8,1
694,317.6,0
695,217.6,0
697,173.6,0
699,364.6,0
702,277.8,0
703,480.8,0
705,474.6,0
706,467.6,0
708,450.6,0
709,291.2,0
710,463.2,0
713,144.4,0
714,211.4,0
717,193.0,0
718,418.4,0
719,474.4,0
720,324.4,0
721,472.2,1
722,364.2,0
723,478.2,0
725,174.6,0
729,138.4,0
731,362.0,0
732,186.8,0
733,186.4,0
734,173.8,1
735,219.0,0
738,266.2,1
739,393.2,1
740,326.4,0
741,270.8,0
743,363.6,0
744,144.2,1
745,469.8,0
746,145.8,0
747,362.6,0
748,415.8,0
749,480.2,0
750,294.6,0
751,250.0,0
753,177.4,0
755,413.2,0
756,445.2,0
758,429.8,0
759,379.4,0
760,366.2,1
762,363.6,0
767,379.6,0
768,470.6,0
770,254.6,0
771,446.0,0
772,141.6,0
773,477.4,0
775,455.0,1
776,467.8,0
777,144.4,0
778,142.2,0
779,257.6,1
780,473.0,0
781,162.4,0
782,179.0,0
784,145.8,0
785,225.4,1
787,400.4,0
788,184.8,0
789,218.2,0
790,472.6,0
791,378.4,1
793,131.6,0
794,472.0,0
795,427.6,0
797,129.0,1
799,279.0,0
800,163.4,0
801,476.8,0
804,464.8,0
805,290.0,0
806,140.0,0
807,472.4,0
808,466.6,0
810,469.6,0
813,217.6,0
815,478.2,0
816,214.4,0
817,139.4,1
820,218.6,1
821,426.0,1
822,435.2,0
823,188.0,1
825,476.4,0
826,157.0,0
827,190.4,0
828,145.8,0
830,467.2,0
831,470.2,0
833,345.4,0
834,149.2,1
836,144.2,0
837,479.8,0
838,452.6,0
839,238.6,1
840,384.6,1
841,328.0,1
842,314.6,1
843,478.4,0
844,346.6,1
845,184.4,1
846,459.4,0
847,318.0,0
848,389.6,0
850,274.2,0
851,474.6,0
852,270.0,0
853,207.0,0
854,203.0,0
855,424.6,0
856,465.8,0
857,462.8,0
858,138.0,0
859,395.0,0
860,470.6,0
861,469.2,0
862,464.8,0
863,397.0,0
864,435.4,0
866,436.4,0
868,265.4,0
869,480.2,0
873,144.6,0
874,469.4,0
875,473.0,0
877,250.0,0
878,454.6,0
879,469.0,0
880,472.4,0
881,358.0,0
883,391.8,0
884,144.4,0
885,272.6,0
886,241.6,0
887,470.0,0
889,145.6,0
890,226.8,1
892,126.0,0
893,364.2,1
897,247.6,1
898,271.6,1
899,466.4,0
900,451.4,0
901,242.4,0
904,287.2,0
905,460.4,0
906,462.6,0
907,210.4,0
908,405.6,0
909,145.0,0
910,218.2,0
911,275.4,0
912,453.2,0
913,142.6,0
915,469.4,0
916,145.4,0
918,289.6,0
920,425.4,0
921,447.8,0
923,177.0,0
924,433.4,0
925,367.4,0
926,368.2,0
927,269.4,1
928,477.0,0
929,436.6,0
930,453.4,0
932,463.2,0
933,436.2,0
934,279.4,0
935,471.2,0
936,443.2,0
938,431.2,0
939,461.6,0
943,448.6,0
946,281.4,0
948,465.4,0
949,464.2,0
950,465.8,0
953,268.0,1
955,367.6,0
956,290.4,1
957,473.0,0
958,361.0,1
961,212.4,0
962,464.4,0
963,474.6,0
964,216.8,0
965,209.4,0
967,452.0,0
968,215.8,1
969,469.2,0
971,471.6,1
972,277.2,0
973,445.0,0
974,243.8,0
976,217.2,0
977,218.6,0
978,170.8,0
979,427.6,0
980,145.2,0
981,192.6,0
982,464.0,0
983,142.4,0
984,469.2,0
985,211.2,0
987,423.8,0
989,469.2,0
990,144.8,0
991,464.0,0
994,382.8,0
995,203.6,0
996,140.0,0
998,347.8,1
1001,463.4,0
1003,317.8,0
1006,287.8,0
1008,467.4,0
1009,446.8,0
1010,455.0,0
1012,112.4,1
1013,319.4,1
1014,361.6,1
1015,356.8,0
1016,351.8,0
1017,458.0,0
1018,466.8,0
1019,187.0,0
1021,172.6,0
1022,154.8,0
1024,399.4,0
1026,327.8,1
1027,458.2,0
1028,289.2,0
1030,217.6,0
1032,290.6,1
1034,212.2,0
1035,439.8,0
1036,457.4,0
1037,469.0,0
1038,401.4,0
1042,325.4,1
1044,340.8,1
1045,462.6,0
1046,421.0,0
1047,420.2,0
1048,248.4,0
1049,471.8,0
1054,155.2,0
1055,227.4,1
1056,184.8,1
1057,213.0,1
1059,144.0,0
1060,180.2,0
1062,443.8,0
1064,389.2,0
1065,445.8,0
1066,252.6,0
1067,423.0,0
1068,456.4,0
1071,166.6,0
1072,436.4,0
1074,144.4,0
1076,150.4,1
1077,158.6,0
1078,363.8,0
1080,457.0,0
1081,249.2,0
1082,473.8,0
1086,182.0,0
1088,424.2,0
1089,308.2,1
1090,283.4,0
1091,455.2,0
1092,474.8,0
1093,364.8,0
1095,211.4,0
1097,283.6,0
1098,459.0,0
1099,316.8,0
1101,228.6,1
1102,460.0,0
1103,244.6,0
1104,410.0,1
1105,172.8,0
1106,347.8,0
1108,245.6,0
1109,459.6,0
1110,281.8,0
1111,460.0,0
1112,450.6,0
1113,229.0,0
1114,469.2,0
1115,122.2,0
1116,423.2,0
1117,431.6,0
1118,379.4,0
1119,204.0,0
1122,463.2,0
1123,283.4,1
1124,357.2,0
1126,445.0,0
1127,313.2,1
1128,458.2,0
1130,431.2,0
1132,248.4,1
1133,369.4,0
1134,327.2,1
1135,434.0,0
1136,468.8,0
1137,446.4,0
1139,237.4,0
1140,181.6,0
1141,296.4,0
1142,191.0,0
1143,453.2,0
1145,399.6,0
1146,470.4,0
1147,366.8,0
1149,300.0,0
1152,448.4,0
1153,397.6,0
1154,466.2,0
1155,283.6,1
1157,174.4,1
1158,346.0,1
1159,203.2,1
1160,149.2,1
1162,197.4,0
1163,463.6,0
1164,467.0,0
1166,205.6,0
1167,417.4,1
1168,271.6,0
1169,260.8,0
1170,181.6,0
1172,449.6,0
1173,331.4,1
1174,456.4,0
1175,175.8,0
1176,214.4,0
1177,309.6,1
1178,181.8,0
1180,277.0,0
1181,149.6,1
1182,285.6,0
1183,143.0,0
1184,222.8,0
1186,427.2,0
1188,454.8,0
1189,199.2,0
1190,398.2,1
1191,461.0,0
1192,424.2,0
1193,239.6,0
1194,413.4,1
1195,123.6,0
1196,435.4,0
1198,317.2,1
1200,175.6,0
1201,90.2,1
1202,409.2,0
1203,241.2,1
1204,460.6,0
1206,94.4,1
1207,217.8,0
1209,396.4,0
1210,202.4,1
1211,127.6,1
1214,220.4,0
1216,468.6,0
1219,463.4,0
1220,434.2,0
1221,176.4,0
1222,243.6,0
1223,171.6,1
1224,361.6,0
1225,348.8,1
1226,290.0,0
1227,235.8,0
1229,214.8,0
1230,379.4,0
1231,419.6,0
1232,205.2,1
1233,250.6,0
1234,253.6,0
1235,469.6,0
1237,289.4,0
1238,321.6,0
1239,224.4,1
1240,143.2,0
1241,441.0,0
1242,159.4,0
1243,382.8,1
1244,446.2,0
1245,429.2,1
1246,340.0,1
1247,445.2,0
1248,359.2,0
1249,168.6,0
1250,461.8,0
1251,141.6,0
1253,217.2,0
1254,252.2,0
1256,137.2,0
1257,181.2,1
1258,136.6,0
1259,148.0,0
1261,356.2,0
1265,464.0,0
1266,442.2,0
1269,348.2,0
1270,453.8,0
1271,187.4,0
1273,279.2,0
1275,435.6,0
1276,439.0,0
1278,174.8,1
1281,469.6,0
1283,446.4,0
1284,455.2,0
1287,316.6,0
1288,144.6,0
1290,290.8,0
1291,463.0,0
1292,132.4,0
1295,213.6,0
1298,200.4,0
1299,177.8,0
1300,438.4,1
1301,390.8,1
1302,144.2,0
1303,414.2,0
1304,351.2,0
1305,455.6,0
1306,341.6,1
1307,453.8,0
1308,449.0,0
1309,176.8,1
1312,176.6,0
1313,144.2,0
1314,271.0,1
1316,434.0,0
1317,436.6,0
1318,449.6,0
1319,171.0,0
1321,194.2,1
1322,445.2,0
1323,144.4,0
1324,251.6,0
1325,238.6,0
1326,97.6,1
1328,462.4,0
1329,245.6,0
1330,454.6,0
1331,441.8,0
1335,432.2,0
1340,215.4,0
1341,290.0,0
1342,318.8,0
1343,257.4,1
1344,453.8,0
1345,427.2,0
1347,201.0,0
1348,323.2,0
1351,155.8,0
1353,459.6,0
1354,153.4,1
1355,346.6,0
1356,182.2,0
1359,386.4,0
1360,217.0,0
1362,191.8,1
1363,177.8,0
1364,417.4,0
1367,281.2,0
1369,176.8,0
1370,442.4,0
1371,397.0,0
1372,193.6,1
1373,131.2,0
1374,130.0,1
1375,142.2,0
1377,288.4,0
1378,173.6,1
1379,334.8,1
1380,240.0,1
1381,422.6,0
1383,297.0,1
1384,448.0,0
1385,208.2,0
1386,448.0,0
1387,421.2,1
1392,292.0,0
1393,124.6,1
1394,442.8,0
1395,435.0,0
1396,438.0,0
1397,364.2,0
1398,244.0,1
1399,289.0,0
1401,447.0,0
1404,305.2,0
1405,401.6,0
1406,176.6,0
1408,235.8,0
1409,347.2,0
1410,289.4,0
1411,240.2,0
1413,145.0,0
1414,453.2,0
1415,179.0,0
1418,462.8,0
1420,364.6,0
1421,310.2,1
1422,142.2,0
1423,163.6,0
1425,190.8,0
1427,278.2,0
1429,347.2,0
1431,442.6,0
1432,137.2,0
1433,191.6,0
1435,455.2,0
1437,360.6,0
1438,272.2,1
1439,441.0,0
1440,130.8,0
1442,166.8,0
1443,251.6,0
1444,163.4,0
1445,124.0,0
1446,112.2,1
1448,448.6,1
1449,248.4,0
1452,427.2,0
1453,456.6,0
1454,250.0,0
1455,452.4,0
1457,360.6,0
1459,252.6,0
1460,266.2,0
1461,409.2,0
1462,282.0,0
1463,246.6,0
1464,239.6,0
1465,214.8,0
1466,217.6,0
1467,206.2,0
1468,182.2,1
1469,460.4,0
1470,217.0,0
1471,231.0,0
1472,338.0,1
1474,244.6,0
1475,378.4,0
1477,301.0,1
1479,458.0,0
1480,441.0,0
1482,286.4,0
1484,142.2,0
1485,186.8,0
1486,242.6,0
1487,193.0,1
1489,454.4,0
1490,232.0,0
1491,262.8,0
1493,434.8,0
1494,458.4,0
1496,142.8,0
1497,269.4,1
1498,218.2,0
1499,350.8,0
1504,257.4,0
1505,326.2,0
1506,302.6,1
1510,421.4,0
1514,435.0,0
1515,206.6,0
1516,358.0,1
1517,441.4,0
1518,439.6,0
1519,174.0,0
1520,156.2,0
1521,364.4,0
1523,441.6,0
1524,348.4,0
1528,441.4,0
1529,254.4,1
1532,286.8,0
1534,303.2,1
1535,175.4,0
1537,451.6,0
1538,440.0,0
1539,350.6,0
1540,391.2,0
1543,306.6,0
1544,311.2,0
1545,390.4,0
1546,406.4,0
1547,399.0,0
1548,325.8,0
1550,453.6,0
1551,455.2,0
1553,340.2,0
1554,292.0,1
1555,182.4,0
1557,296.0,1
1558,250.6,0
1559,449.8,0
1560,396.6,0
1561,143.2,0
1562,415.0,0
1563,193.2,1
1565,276.6,0
1566,177.6,0
1568,285.6,0
1569,144.8,0
1573,364.2,0
1575,441.6,0
1577,329.2,1
1578,137.6,0
1579,429.2,0
1580,137.4,0
1581,151.8,1
1582,144.8,0
1583,215.6,1
1584,378.2,0
1587,445.0,0
1589,174.2,0
1590,401.6,0
1592,445.2,0
1593,145.0,0
1594,394.2,0
1596,287.8,1
1602,175.0,0
1603,208.8,0
1604,248.8,0
1607,240.4,0
1608,386.4,0
1609,443.6,0
1610,446.4,0
1611,156.0,0
1612,250.6,1
1613,434.8,0
1614,318.4,1
1615,347.6,1
1617,166.8,0
1619,178.0,0
1620,326.2,0
1621,146.0,0
1624,337.4,0
1625,306.0,1
1626,357.6,1
1627,143.6,0
1629,179.8,1
1630,453.6,0
1631,148.2,0
1632,435.2,0
1635,177.4,1
1636,323.0,0
1637,175.6,0
1638,211.0,1
1640,455.0,0
1643,195.2,1
1644,356.0,1
1645,228.6,0
1646,270.4,1
1647,428.8,0
1648,285.0,0
1649,393.4,0
1650,214.6,0
1651,213.6,0
1653,317.0,0
1654,432.8,0
1655,418.4,0
1656,194.2,1
1657,345.0,0
1658,245.0,0
1659,203.2,1
1661,220.4,1
1662,433.0,0
1664,323.8,0
1666,217.2,0
1667,287.2,0
1669,218.0,0
1672,167.6,1
1674,216.2,0
1676,198.4,0
1678,203.4,0
1680,297.6,0
1683,158.2,1
1684,372.4,0
1687,182.0,0
1688,199.6,0
1691,155.0,0
1692,318.6,0
1693,201.4,0
1695,222.6,0
1696,181.6,0
1698,190.4,0
1700,312.4,0
1701,354.8,0
1703,107.4,1
1704,252.6,0
1709,255.6,1
1710,194.2,1
1711,432.4,0
1712,302.2,0
1713,140.8,0
1714,434.6,0
1715,253.4,0
1716,447.0,0
1717,326.4,0
1718,346.4,0
1719,384.4,0
1721,255.6,1
1722,145.4,0
1723,177.8,0
1724,434.6,0
1725,354.0,1
1726,411.6,0
1728,353.6,0
1732,172.6,1
1733,145.0,0
1734,286.6,0
1735,331.2,0
1736,367.0,1
1737,180.2,0
1738,326.4,0
1739,441.6,0
1740,307.0,1
1741,170.2,0
1742,126.0,1
1743,286.2,0
1745,230.8,0
1747,246.6,0
1750,153.0,0
1752,145.2,0
1754,212.6,0
1758,434.8,0
1759,274.4,0
1760,175.2,0
1761,132.2,0
1762,362.4,0
1764,180.0,0
1765,160.2,0
1768,325.0,1
1769,428.2,0
1770,433.2,0
1772,256.0,0
1773,424.0,0
1775,248.0,0
1776,145.4,0
1777,416.4,0
1778,311.0,0
1780,178.2,0
1783,146.8,1
1785,241.4,0
1786,133.6,0
1787,249.0,1
1788,215.8,0
1792,346.4,0
1793,292.2,0
1794,136.6,0
1795,286.8,0
1796,131.6,0
1797,254.6,0
1798,229.4,0
1799,441.0,0
1800,387.8,0
1801,379.6,0
1802,425.6,0
1803,175.4,0
1805,438.2,0
1806,428.4,0
1807,422.8,0
1808,332.0,0
1809,389.4,0
1810,253.2,0
1811,356.2,0
1812,218.2,0
1813,439.0,0
1815,433.8,0
1816,289.8,0
1817,445.8,0
1819,152.8,0
1821,130.2,0
1822,419.4,0
1823,410.2,0
1825,217.0,0
1826,239.2,0
1827,341.4,0
1828,212.8,0
1829,176.4,0
1830,328.0,0
1832,393.8,1
1833,434.2,0
1835,143.4,0
1836,434.8,0
1837,160.8,0
1838,390.6,0
1841,145.8,0
1844,120.8,1
1845,309.8,0
1847,172.4,1
1848,213.6,0
1849,325.0,0
1850,273.0,1
1851,433.4,0
1852,245.6,0
1853,421.6,0
1854,289.8,0
1855,217.0,0
1856,191.4,0
1857,416.0,0
1858,171.4,0
1859,435.2,0
1860,442.6,0
1863,294.0,0
1865,138.4,0
1866,425.6,0
1867,419.2,0
1869,145.4,0
1870,164.0,0
1872,350.4,1
1873,315.8,0
1874,444.8,0
1875,438.4,0
1876,244.4,1
1878,423.0,0
1879,304.0,1
1880,164.2,0
1881,290.4,0
1882,429.0,0
1887,222.2,0
1888,436.8,0
1889,445.4,0
1892,436.6,0
1893,449.8,0
1896,442.0,0
1897,446.8,0
1898,239.6,0
1900,198.4,0
1902,353.0,1
1904,387.4,0
1905,444.0,0
1908,160.8,0
1911,234.2,0
1912,296.2,1
1913,418.0,0
1914,449.8,0
1915,437.0,0
1916,442.6,0
1917,176.0,0
1918,167.0,0
1919,440.6,0
1920,163.0,0
1921,407.4,0
1922,354.6,1
1924,291.8,0
1925,438.4,0
1926,125.6,0
1927,214.2,0
1928,268.8,1
1929,200.2,0
1930,191.2,0
1931,282.8,0
1932,382.8,1
1934,291.4,0
1935,426.8,0
1936,134.2,0
1938,326.8,0
1939,228.8,0
1940,164.2,0
1942,170.8,0
1943,448.0,0
1945,441.4,0
1946,253.0,0
1947,416.8,0
1950,393.6,1
1952,177.2,0
1953,213.2,0
1955,289.0,0
1956,323.4,0
1957,142.0,0
1958,294.2,0
1961,441.2,0
1962,347.0,0
1963,431.2,0
1964,236.4,0
1967,290.6,1
1968,320.4,1
1969,219.0,0
1970,139.8,0
1972,364.6,0
1975,244.4,0
1977,423.8,0
1978,144.8,0
1979,220.6,1
1980,178.0,0
1981,290.0,0
1982,430.4,0
1984,428.8,0
1985,442.0,0
1987,214.6,0
1988,288.2,1
1989,432.2,0
1992,439.8,1
1994,138.8,0
1996,203.0,0
1997,429.8,0
1998,342.8,1
1999,195.6,0
2002,317.2,0
2003,418.6,0
2004,397.2,0
2005,216.2,0
2006,359.4,0
2007,181.0,0
2009,216.8,0
2010,141.8,0
2013,137.2,0
2014,201.6,1
2015,426.6,0
2016,211.6,1
2017,350.0,0
2018,230.0,0
2022,210.0,0
2023,415.6,0
2024,138.0,1
2026,335.8,1
2027,309.8,0
2028,442.2,0
2030,245.2,1
2031,149.4,0
2032,393.6,0
2034,418.2,0
2035,140.6,0
2037,226.4,0
2038,411.6,0
2039,423.6,0
2041,392.4,0
2043,226.0,0
2045,194.4,0
2046,446.0,0
2047,428.8,0
2048,164.4,0
2049,423.8,0
2051,447.2,0
2052,291.6,0
2053,177.6,0
2055,217.8,0
2056,370.0,0
2057,333.2,0
2059,141.4,0
2060,278.8,0
2062,169.2,0
2063,321.0,0
2064,174.4,0
2065,362.2,1
2066,435.0,0
2068,226.8,0
2069,243.0,0
2070,195.6,0
2071,199.0,0
2074,163.2,0
2075,438.2,0
2077,423.6,0
2078,396.0,1
2085,436.0,0
2087,290.8,0
2089,352.0,1
2092,444.8,0
2093,176.6,0
2094,406.6,0
2095,172.8,0
2097,214.6,0
2102,392.0,0
2103,207.0,0
2104,436.8,0
2105,351.2,0
2107,349.2,1
2108,441.2,0
2109,245.6,0
2110,441.6,0
2111,395.6,0
2113,355.2,0
2115,283.2,0
2116,439.6,0
2120,409.6,0
2121,428.4,0
2122,331.0,1
2123,178.8,1
2127,419.8,0
2128,138.4,0
2130,232.4,0
2131,216.8,0
2132,245.2,1
2133,431.4,0
2134,132.0,0
2135,243.0,0
2136,410.2,0
2137,123.2,0
2139,179.4,0
2140,406.0,0
2141,304.8,0
2142,351.6,0
2143,288.8,0
2145,314.6,0
2148,314.6,0
2149,434.2,0
2150,410.8,0
2151,171.6,0
2152,214.8,1
2153,245.4,0
2154,203.2,0
2156,161.8,0
2157,215.4,0
2160,291.6,0
2161,424.6,0
2162,427.2,0
2163,434.6,0
2164,433.8,0
2165,217.8,0
2166,431.8,0
2167,403.4,0
2168,428.0,0
2169,350.8,0
2171,227.6,1
2172,435.6,0
2173,137.4,0
2175,428.4,0
2177,139.4,0
2178,288.0,1
2181,325.0,0
2182,444.4,0
2183,355.6,0
2184,243.4,0
2185,425.0,0
2186,426.2,0
2187,325.4,1
2188,431.6,0
2189,413.2,0
2191,217.4,0
2192,324.6,0
2193,443.4,0
2194,368.0,0
2195,180.6,0
2196,438.2,0
2197,182.0,0
2198,175.2,0
2199,287.0,1
2200,440.4,0
2201,218.4,0
2203,210.6,0
2204,371.0,0
2205,287.2,1
2207,370.8,0
2211,300.0,1
2212,283.6,0
2213,362.8,1
2214,149.2,0
2216,424.6,0
2217,277.4,0
2218,361.0,1
2219,315.4,0
2221,439.0,0
2223,426.0,0
2224,434.0,0
2225,420.6,0
2226,437.0,0
2227,160.2,0
2228,214.0,0
2229,288.4,1
2230,149.6,0
2231,217.4,1
2232,262.4,0
2233,313.4,0
2234,151.2,0
2235,428.6,0
2237,172.6,0
2241,310.6,0
2242,136.8,0
2244,142.6,0
2245,207.2,0
2246,286.8,0
2247,381.2,0
2248,337.4,1
2250,421.4,0
2251,282.6,0
2252,209.0,0
2253,440.2,0
2254,438.8,0
2255,339.2,0
2256,325.8,0
2257,259.0,1
2258,145.2,0
2259,209.8,0
2260,358.6,0
2261,166.0,0
2262,442.4,0
2263,218.4,0
2264,407.6,0
2265,393.6,1
2266,219.2,0
2267,232.0,0
2268,431.2,0
2269,246.6,0
2270,433.6,0
2271,394.8,0
2272,230.6,0
2273,137.8,0
2274,217.0,0
2277,429.8,0
2278,129.6,0
2279,421.4,0
2280,129.0,0
2281,220.2,1
2283,251.2,0
2284,398.4,0
2285,420.2,0
2286,291.0,0
2288,212.8,0
2290,344.4,0
2291,353.4,0
2292,436.6,0
2293,439.4,0
2294,409.4,0
2295,144.4,0
2296,283.2,0
2297,361.6,0
2298,223.4,0
2300,420.6,0
