vehicle_id,Spec_0,Spec_1,Spec_2,Spec_3,Spec_4,Spec_5,Spec_6,Spec_7
48,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
49,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
50,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1
52,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
53,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
54,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
55,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
56,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1
57,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
61,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat2
63,Cat0,Cat5,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1
64,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
65,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
67,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
68,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
69,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
70,Cat0,Cat0,Cat2,Cat1,Cat0,Cat0,Cat0,Cat1
71,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
72,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat2,Cat2
73,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
75,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
76,Cat0,Cat3,Cat2,Cat1,Cat0,Cat0,Cat0,Cat1
78,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
79,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat0,Cat1
80,Cat1,Cat6,Cat0,Cat1,Cat0,Cat0,Cat3,Cat2
81,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat1,Cat2
82,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
84,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat1,Cat0
86,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat2
87,Cat0,Cat3,Cat2,Cat1,Cat0,Cat0,Cat0,Cat1
88,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
89,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,Cat4,Cat1
90,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat1,Cat2
91,Cat0,Cat7,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1
92,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
93,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
94,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat4,Cat1
95,Cat0,Cat8,Cat2,Cat0,Cat0,Cat2,Cat2,Cat1
96,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat2
99,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
100,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
102,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
103,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
105,Cat0,Cat10,Cat0,Cat0,Cat0,Cat1,Cat0,Cat1
106,Cat1,Cat2,Cat2,Cat0,Cat0,Cat0,Cat4,Cat1
108,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
109,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
110,Cat0,Cat4,Cat0,Cat0,Cat0,Cat1,Cat0,Cat1
111,Cat1,Cat10,Cat0,Cat0,Cat0,Cat0,Cat4,Cat0
112,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat1
113,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1
114,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
115,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat0,Cat1
116,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
118,Cat0,Cat7,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1
121,Cat0,Cat5,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
122,Cat1,Cat3,Cat2,Cat0,Cat0,Cat1,Cat4,Cat0
123,Cat0,Cat9,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1
124,Cat0,Cat7,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
125,Cat1,Cat12,Cat0,Cat1,Cat0,Cat0,Cat4,Cat2
126,Cat0,Cat10,Cat2,Cat0,Cat0,Cat2,Cat2,Cat1
128,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat4,Cat2
130,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat0,Cat0
131,Cat1,Cat0,Cat2,Cat0,Cat0,Cat0,Cat4,Cat1
132,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
134,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat1
135,Cat0,Cat2,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1
136,Cat1,Cat13,Cat0,Cat0,Cat0,Cat0,Cat4,Cat0
138,Cat0,Cat5,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
139,Cat0,Cat5,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
140,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
141,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat1
142,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat1
143,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat3,Cat0
144,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1
146,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat3,Cat0
147,Cat1,Cat0,Cat0,Cat0,Cat0,Cat2,Cat4,Cat1
148,Cat0,Cat2,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1
149,Cat0,Cat2,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1
150,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
151,Cat0,Cat0,Cat0,Cat0,Cat0,Cat2,Cat0,Cat1
152,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat4,Cat0
154,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
155,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
156,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat4,Cat2
159,Cat0,Cat4,Cat0,Cat0,Cat0,Cat1,Cat0,Cat1
160,Cat0,Cat2,Cat2,Cat0,Cat0,Cat0,Cat0,Cat1
161,Cat0,Cat12,Cat0,Cat1,Cat0,Cat0,Cat0,Cat1
162,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1
163,Cat0,Cat14,Cat2,Cat0,Cat0,Cat1,Cat0,Cat0
164,Cat0,Cat13,Cat2,Cat0,Cat0,Cat2,Cat0,Cat1
165,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0
167,Cat0,Cat2,Cat2,Cat0,Cat0,Cat0,Cat0,Cat1
168,Cat1,Cat4,Cat0,Cat0,Cat0,Cat2,Cat4,Cat1
169,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1
171,Cat0,Cat15,Cat2,Cat0,Cat0,Cat0,Cat0,Cat1
172,Cat0,Cat12,Cat0,Cat1,Cat0,Cat0,Cat0,Cat1
175,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1
177,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
178,Cat0,Cat9,Cat3,Cat0,Cat0,Cat0,Cat0,Cat0
179,Cat0,Cat12,Cat0,Cat1,Cat0,Cat0,Cat0,Cat1
185,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat4,Cat0
186,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat1,Cat0
187,Cat0,Cat6,Cat0,Cat1,Cat0,Cat0,Cat0,Cat0
188,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
190,Cat0,Cat13,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0
191,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
193,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
194,Cat0,Cat7,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
195,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
197,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
199,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
200,Cat1,Cat3,Cat2,Cat0,Cat0,Cat0,Cat4,Cat1
202,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1
203,Cat0,Cat13,Cat2,Cat0,Cat0,Cat0,Cat0,Cat0
204,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat2
205,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1
206,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
207,Cat1,Cat7,Cat2,Cat0,Cat0,Cat0,Cat4,Cat0
208,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1
209,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1
211,Cat1,Cat13,Cat0,Cat0,Cat0,Cat1,Cat4,Cat0
213,Cat0,Cat3,Cat2,Cat1,Cat0,Cat0,Cat0,Cat0
215,Cat0,Cat9,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1
216,Cat1,Cat0,Cat0,Cat0,Cat0,Cat2,Cat4,Cat1
217,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat0
218,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat2
219,Cat0,Cat9,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1
222,Cat0,Cat9,Cat3,Cat0,Cat0,Cat0,Cat0,Cat0
223,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1
226,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat1
228,Cat1,Cat1,Cat1,Cat1,Cat0,Cat1,Cat4,Cat1
229,Cat0,Cat9,Cat3,Cat0,Cat0,Cat0,Cat0,Cat1
231,Cat0,Cat0,Cat0,Cat1,Cat0,Cat0,Cat0,Cat1
233,Cat0,Cat2,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1
234,Cat0,Cat2,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1
236,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat1
237,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat1
240,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat1
241,Cat0,Cat0,Cat0,Cat1,Cat0,Cat1,Cat0,Cat1
242,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat1
243,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1
244,Cat0,Cat3,Cat2,Cat1,Cat0,Cat0,Cat0,Cat1
245,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1,Cat0
246,Cat0,Cat13,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1
247,Cat1,Cat13,Cat0,Cat0,Cat0,Cat0,Cat4,Cat2
249,Cat0,Cat13,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1
252,Cat0,Cat2,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1
253,Cat0,Cat5,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1
254,Cat1,Cat10,Cat0,Cat0,Cat0,Cat0,Cat4,Cat1
255,Cat0,Cat16,Cat1,Cat1,Cat0,Cat0,Cat0,Cat2
257,Cat0,Cat14,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
258,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
259,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
260,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat1
261,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1,Cat0,Cat1
262,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat2,Cat1
263,Cat1,Cat1,Cat1,Cat1,Cat0,Cat1,Cat3,Cat0
267,Cat0,Cat4,Cat0,Cat0,Cat0,Cat0,Cat0,Cat2
269,Cat0,Cat12,Cat2,Cat1,Cat0,Cat0,Cat0,Cat0
270,Cat0,Cat10,Cat2,Cat1,Cat0,Cat0,Cat0,Cat1
271,Cat0,Cat5,Cat1,Cat0,Cat0,Cat0,Cat1,Cat2
272,Cat0,Cat5,Cat1,Cat0,Cat0,Cat0,Cat1,Cat2
273,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
274,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
275,Cat1,Cat4,Cat0,Cat0,Cat0,Cat0,Cat5,Cat1
276,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
277,Cat0,Cat5,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
278,Cat0,Cat1,Cat1,Cat1,Cat0,Cat2,Cat0,Cat1
279,Cat0,Cat17,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1
280,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat4,Cat1
281,Cat0,Cat5,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
282,Cat0,Cat4,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1
284,Cat1,Cat9,Cat3,Cat1,Cat0,Cat1,Cat4,Cat0
287,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
288,Cat0,Cat2,Cat2,Cat0,Cat0,Cat0,Cat0,Cat1
289,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat1
290,Cat0,Cat2,Cat2,Cat0,Cat0,Cat0,Cat0,Cat1
291,Cat1,Cat6,Cat2,Cat0,Cat0,Cat0,Cat3,Cat2
292,Cat0,Cat7,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
293,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat0
294,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
295,Cat0,Cat3,Cat2,Cat1,Cat0,Cat0,Cat0,Cat1
296,Cat1,Cat6,Cat2,Cat0,Cat0,Cat0,Cat3,Cat2
297,Cat1,Cat9,Cat3,Cat0,Cat0,Cat0,Cat4,Cat1
298,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat1
300,Cat0,Cat5,Cat1,Cat1,Cat0,Cat0,Cat0,Cat2
301,Cat0,Cat7,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
304,Cat0,Cat9,Cat3,Cat1,Cat0,Cat0,Cat0,Cat0
305,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1
306,Cat0,Cat2,Cat2,Cat0,Cat0,Cat0,Cat0,Cat1
308,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1
310,Cat0,Cat5,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
311,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat1
312,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
313,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,Cat4,Cat0
314,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
316,Cat0,Cat2,Cat2,Cat0,Cat0,Cat0,Cat0,Cat0
318,Cat0,Cat13,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1
319,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
321,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1
322,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1
323,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
324,Cat1,Cat13,Cat0,Cat0,Cat0,Cat0,Cat4,Cat1
325,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
326,Cat0,Cat0,Cat0,Cat1,Cat0,Cat1,Cat0,Cat1
327,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
328,Cat1,Cat9,Cat4,Cat0,Cat0,Cat0,Cat4,Cat0
329,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
332,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat1
334,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
335,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat1
336,Cat0,Cat13,Cat2,Cat1,Cat0,Cat0,Cat1,Cat0
337,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
338,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,Cat4,Cat1
341,Cat0,Cat9,Cat3,Cat0,Cat0,Cat0,Cat0,Cat0
342,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat4,Cat1
343,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
346,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
347,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
348,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
349,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
350,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0
351,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
352,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
353,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat0,Cat1
354,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
355,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,Cat4,Cat1
356,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
357,Cat0,Cat13,Cat0,Cat1,Cat0,Cat0,Cat0,Cat1
358,Cat1,Cat9,Cat3,Cat0,Cat0,Cat0,Cat3,Cat0
360,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat1
361,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
362,Cat1,Cat10,Cat0,Cat0,Cat0,Cat0,Cat4,Cat1
365,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat4,Cat1
366,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
368,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
370,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
371,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
372,Cat0,Cat10,Cat0,Cat0,Cat0,Cat0,Cat0,Cat1
374,Cat0,Cat2,Cat2,Cat1,Cat0,Cat1,Cat0,Cat0
375,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
376,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat0,Cat0
378,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
381,Cat0,Cat0,Cat2,Cat0,Cat0,Cat0,Cat0,Cat1
382,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
383,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
384,Cat1,Cat0,Cat2,Cat0,Cat0,Cat1,Cat4,Cat1
385,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
386,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
388,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1
389,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,Cat4,Cat2
390,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1
391,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
393,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
394,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1
395,Cat1,Cat6,Cat0,Cat0,Cat0,Cat0,Cat4,Cat1
396,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
399,Cat0,Cat11,Cat3,Cat1,Cat0,Cat0,Cat0,Cat1
401,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat2
402,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
404,Cat0,Cat1,Cat1,Cat1,Cat0,Cat1,Cat0,Cat1
406,Cat0,Cat2,Cat2,Cat0,Cat0,Cat1,Cat0,Cat1
408,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
409,Cat0,Cat7,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0
410,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
412,Cat0,Cat17,Cat2,Cat0,Cat0,Cat1,Cat2,Cat1
413,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat2
415,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,Cat4,Cat1
416,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1
418,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
419,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
421,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
425,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
426,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1,Cat4,Cat0
427,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
428,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
429,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,Cat4,Cat1
430,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
431,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1
432,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
433,Cat0,Cat9,Cat3,Cat0,Cat0,Cat1,Cat1,Cat0
434,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat0,Cat1
436,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat2
437,Cat1,Cat6,Cat2,Cat0,Cat0,Cat0,Cat3,Cat2
440,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
441,Cat0,Cat12,Cat0,Cat1,Cat0,Cat0,Cat1,Cat0
442,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat0,Cat2
443,Cat1,Cat18,Cat0,Cat0,Cat0,Cat0,Cat3,Cat0
445,Cat0,Cat1,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0
447,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
451,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
452,Cat1,Cat3,Cat2,Cat0,Cat0,Cat1,Cat4,Cat0
453,Cat1,Cat1,Cat1,Cat1,Cat0,Cat1,Cat3,Cat0
454,Cat1,Cat16,Cat0,Cat1,Cat0,Cat0,Cat4,Cat1
455,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,Cat4,Cat1
456,Cat0,Cat1,Cat1,Cat0,Cat0,Cat0,Cat1,Cat0
457,Cat0,Cat1,Cat1,Cat0,Cat0,Cat1,Cat0,Cat1
458,Cat1,Cat0,Cat0,Cat0,Cat0,Cat0,Cat4,Cat1
